,teams,1_star,X_star,2_star,under_star,goals_star,over_star
285,Admira  Liefering,1.79,3.75,4.00,2.16,2.5,1.65
286,Rapid Am.  Lafnitz,2.90,3.55,2.25,2.21,2.5,1.67
287,Floridsdorfer AC  Blau Weis Linz,3.35,3.40,2.05,1.98,2.5,1.77
288,Utakmica,1,X,2,,2.5,i
289,Deutschlandsberger  Bad Gleichenberg,1.95,3.85,3.00,2.55,2.5,1.42
290,SAK Klagenfurt  Union Gurten,6.25,4.65,1.32,2.45,2.5,1.43
291,Kalsdorf  Treibach Al.,2.14,3.75,2.55,2.60,2.5,1.38
292,Weiz  Gleisdorf,3.35,3.65,1.87,2.20,2.5,1.55
293,Un. Vocklamarkt  WSC Herta Wels,5.95,4.65,1.38,2.60,2.5,1.40
294,Utakmica,1,X,2,,2.5,i
295,Drassburg  Kremser SC,1.94,3.60,2.80,2.35,2.5,1.46
296,Traiskirchen  ASK Elektra,2.75,3.50,2.20,2.24,2.5,1.53
297,Wiener SK  Mauerwerk,1.59,3.90,4.15,2.22,2.5,1.51
298,Neusiedl  Wiener Viktoria,2.04,3.50,3.05,2.17,2.5,1.57
299,SC Wiener Neustadter  Marchfeld,4.00,3.80,1.57,2.25,2.5,1.50
300,Utakmica,1,X,2,,2.5,i
301,Basel  St. Gallen,2.05,3.70,3.25,2.50,2.5,1.55
302,Grasshoppers  Zurich,2.85,3.55,2.30,2.30,2.5,1.62
303,Sion  Winterthur,1.77,3.70,4.30,2.13,2.5,1.72
304,Lugano  Servette,2.40,3.45,2.75,2.18,2.5,1.69
305,Luzern  Young Boys,3.60,3.75,1.92,2.50,2.5,1.56
306,Utakmica,1,X,2,,2.5,i
307,Yverdon  Aarau,2.65,3.75,2.25,2.55,2.5,1.45
308,Lausanne  Wil,1.65,4.15,4.30,2.55,2.5,1.48
309,Thun  Xamax,1.60,4.00,4.65,2.23,2.5,1.58
310,Vaduz  Lausanne Ouchy,2.25,3.70,2.70,2.40,2.5,1.51
311,Bellinzona  Schaffhausen,2.10,3.45,3.10,1.97,2.5,1.75
312,Utakmica,1,X,2,,2.5,i
313,Kasimpasa  Gaziantep FK,2.26,3.60,2.90,2.30,2.5,1.62
314,Kayserispor  Trabzonspor,3.40,3.50,2.06,2.00,2.5,1.81
315,Ankaraguçu  Ist. Basaksehir,3.95,3.45,1.95,1.86,2.5,1.97
316,Adana Demirspor  Galatasaray,2.65,3.40,2.60,2.13,2.5,1.72
317,Sivasspor  Hatayspor,2.05,3.40,3.55,1.86,2.5,1.95
318,Alanyaspor  Giresunspor,1.95,3.55,3.85,2.00,2.5,1.82
319,Konyaspor  Umraniyespor,1.65,3.85,5.30,2.00,2.5,1.85
320,Besiktas  Fenerbahçe,2.50,3.55,2.70,2.40,2.5,1.58
321,Utakmica,1,X,2,,2.5,i
322,Pendikspor  Goztepe,2.04,3.30,3.50,1.77,2.5,1.98
323,Sakaryaspor  Yeni Malatyaspor,1.75,3.60,4.40,1.94,2.5,1.80
324,Rizespor  Bodrumspor,2.15,3.35,3.20,1.87,2.5,1.87
325,Altay  Eyüpspor,4.10,3.45,1.85,1.80,2.5,1.94
326,Bandırmaspor  Samsunspor,2.45,3.25,2.80,1.80,2.5,1.94
327,Manisa BBSK  Adanaspor AS,1.78,3.55,4.25,1.91,2.5,1.83
328,Boluspor  Tuzlaspor,1.84,3.40,4.15,1.76,2.5,2.00
329,Altinordu  Keciorengucu,2.85,3.25,2.40,1.79,2.5,1.95
330,Erzurum BB  Denizlispor,1.87,3.45,3.90,1.87,2.5,1.87
331,Utakmica,1,X,2,,2.5,i
332,Hearts  Glasgow Rangers,4.50,4.00,1.71,2.30,2.5,1.63
333,St. Mirren  Livingston,2.25,3.15,3.25,1.63,2.5,2.30
334,Aberdeen  Kilmarnock,1.70,3.65,5.15,1.75,2.5,2.09
335,Celtic  Motherwell,1.13,8.00,16.8,5,2.5,1.33
336,Ross County  Hibernian,3.60,3.30,2.07,1.70,2.5,2.16
337,Dundee United  St. Johnstone,2.50,3.05,2.95,1.57,2.5,2.40
338,Utakmica,1,X,2,,2.5,i
339,Ayr United  Inverness CT,2.08,3.45,3.35,1.81,2.5,2.01
340,Hamilton  Dundee FC,3.70,3.50,1.95,1.80,2.5,2.02
341,Partick Thistle  Morton,1.68,3.70,4.95,1.77,2.5,2.06
342,Queen's Park  Raith Rovers,2.35,3.50,2.80,1.96,2.5,1.85
343,Cove Rangers  Arbroath,2.35,3.35,2.95,1.76,2.5,2.07
344,Utakmica,1,X,2,,2.5,i
345,Queen of South  Alloa,2.30,3.55,2.70,2.06,2.5,1.68
346,Falkirk  Clyde,1.64,3.90,4.50,2.06,2.5,1.68
347,Montrose  FC Edinburgh,1.69,3.85,4.20,2.06,2.5,1.68
348,Kelty Hearts  Airdrieonians,3.30,3.60,1.96,2.03,2.5,1.71
349,Dunfermline  Peterhead,1.28,5.15,8.75,5,2.5,1.57
350,Utakmica,1,X,2,,2.5,i
351,Elgin  Annan Athletic,2.30,3.40,2.80,1.96,2.5,1.75
352,East Fife  Stirling Albion,2.50,3.25,2.55,1.78,2.5,1.89
353,Forfar Athletic  Dumbarton,3.25,3.40,2.01,1.91,2.5,1.77
354,Stranraer  Albion Rovers,2.01,3.45,3.25,1.95,2.5,1.73
355,Bonnyrigg Rose  Stenhousemuir,2.18,3.35,2.95,1.92,2.5,1.76
356,Utakmica,1,X,2,,2.5,i
357,RC Arbaa  El Bayadh,2.05,3.05,3.55,1.47,2.5,2.45
358,Biskra  Magra,1.75,3.20,4.60,1.46,2.5,2.45
359,Utakmica,1,X,2,,2.5,i
360,ASM Oran  MC Saida,1.70,3.20,4.85,.25,2.5,4.40
361,Temouchent  RC Kouba,1.45,3.70,6.75,.19,2.5,4.20
362,MO Constantine  Skikda,1.43,3.65,6.25,.07,2.5,3.85
363,Utakmica,1,X,2,,2.5,i
364,ES Setif U21  MO Constantine U21,3.05,3.35,2.09,.77,2.5,3.00
365,Utakmica,1,X,2,,2.5,i
366,Barracas Central  Gimnasia LP,2.65,3.10,2.70,1.61,2.5,2.35
367,Utakmica,1,X,2,,2.5,i
368,Ararat Armenia  BKMA Yerevan,1.15,5.80,14.8,1,2.5,1.60
369,Ararat Yerevan  FC Urartu,2.75,3.05,2.40,1.65,2.5,2.02
370,Shirak  Lernayin Artsakh,2.55,2.85,2.55,1.52,2.5,2.21
371,Pyunik Yerevan  Alashkert,2.14,3.00,3.30,1.55,2.5,2.19
372,FC Van  Noah,1.52,3.85,5.25,2.09,2.5,1.61
373,Utakmica,1,X,2,,2.5,i
374,Sydney Utd  Macarthur FC,11.8,5.85,1.20,5,2.5,1.53
375,Utakmica,1,X,2,,2.5,i
376,Sabail  Qabala,3.55,3.15,2.00,1.62,2.5,2.12
377,Turan Tovuz  Zira,2.25,3.10,2.95,1.63,2.5,2.09
378,Qarabag  Neftchi Baku,1.49,3.80,5.80,1.83,2.5,1.81
379,Shamakhi FK  Sabah FC,4.50,3.45,1.70,1.75,2.5,1.93
380,Sumqayıt  Kapaz,2.14,3.15,3.10,1.66,2.5,2.01
381,Utakmica,1,X,2,,2.5,i
382,Real Santa Cruz  Tomayapo,1.93,3.25,3.55,1.85,2.5,1.79
383,Guabira  Jorge Wilstermann,1.80,3.25,4.15,1.70,2.5,1.95
384,Nacional Potosi  Royal Pari,1.41,4.10,6.25,2.14,2.5,1.58
385,Aurora  Atletico Palmaflor,2.35,3.15,2.70,1.82,2.5,1.81
386,Bolivar  Independiente Petroleros,1.11,6.50,16.3,0,2.5,1.40
387,Universitario De Vinto  Always Ready,3.00,3.30,2.11,2.03,2.5,1.65
388,The Strongest  Un. de Sucre,1.09,7.25,17.5,0,2.5,1.31
389,Oriente Petrolero  Blooming,1.91,3.40,3.45,2.03,2.5,1.65
390,Utakmica,1,X,2,,2.5,i
391,Velež  NK Posušje,1.63,3.40,5.05,1.60,2.5,2.10
392,Tuzla City  Sarajevo,2.30,3.10,2.95,1.62,2.5,2.12
393,Zrinjski  Sloboda Tuzla,1.19,5.25,12.5,4,2.5,1.71
394,Utakmica,1,X,2,,2.5,i
395,Tombense  Gremio Novorizontino,2.75,2.80,2.70,1.39,2.5,2.80
396,Vasco da Gama  Londrina,1.70,3.25,5.75,1.45,2.5,2.60
397,Utakmica,1,X,2,,2.5,i
398,Arda  Hebar,1.45,4.00,7.00,1.75,2.5,2.00
399,Septemvri Sofia  Spartak Varna,1.61,3.60,5.00,1.75,2.5,1.93
400,Cerno More  Botev Vratsa,1.32,4.45,8.50,6,2.5,1.81
401,Botev Plovdiv  Slavia Sofia,1.90,3.25,3.80,1.64,2.5,2.08
402,Lokomotiv Sofia  Ludogorets,6.75,4.40,1.37,2.10,2.5,1.63
403,Lokomotiv Plovdiv  CSKA 1948 Sofia,2.95,3.15,2.25,1.65,2.5,2.06
404,CSKA Sofia  Pirin B.,1.27,4.95,9.25,9,2.5,1.64
405,Beroe  Levski Sofia,5.30,3.60,1.59,1.68,2.5,2.02
406,Utakmica,1,X,2,,2.5,i
407,Cobreloa  Magallanes,2.07,3.10,3.55,1.53,2.5,2.35
408,Utakmica,1,X,2,,2.5,i
409,Santa Fe  Atl. Nacional,2.60,3.15,2.60,1.69,2.5,2.05
410,Utakmica,1,X,2,,2.5,i
411,Santos Guápiles  Perez Zeledon,2.12,3.35,2.95,2.04,2.5,1.64
412,Sporting San Jose  San Carlos,2.11,3.35,3.00,2.00,2.5,1.67
413,Utakmica,1,X,2,,2.5,i
414,Varazdin  Istra 1961,1.96,3.40,3.65,1.86,2.5,1.88
415,Osijek  Lokomotiva Z.,1.84,3.45,3.95,1.85,2.5,1.85
416,Dinamo Zagreb  Slaven Belupo,1.18,5.85,13.8,1,2.5,1.59
417,Rijeka  Hajduk Split,4.25,3.60,1.77,2.00,2.5,1.75
418,Sibenik  HNK Gorica,2.60,3.20,2.55,1.77,2.5,1.95
419,Utakmica,1,X,2,,2.5,i
420,Mlada Boleslav  Sigma Olomouc,2.16,3.35,3.15,1.93,2.5,1.81
421,Banik Ostrava  C. Budejovice,1.70,3.75,4.55,2.08,2.5,1.70
422,Bohemians 1905  Plzen,3.60,3.35,2.00,1.86,2.5,1.88
423,Sparta P.  Hradec Kralove,1.47,4.05,6.50,1.97,2.5,1.78
424,Zlin  FC Slovacko,3.35,3.35,2.08,1.90,2.5,1.83
425,Jablonec  Brno,1.79,3.65,4.10,2.08,2.5,1.70
426,Teplice  Pardubice,1.98,3.35,3.65,1.86,2.5,1.88
427,Slavia P.  Liberec,1.23,5.60,11.8,5,2.5,1.55
428,Utakmica,1,X,2,,2.5,i
429,Dukla P.  Vysocina Jihlava,1.97,3.25,3.50,1.80,2.5,1.87
430,Pribram  Sigma Olomouc (B),1.64,3.60,4.75,1.90,2.5,1.77
431,Opava  Taborsko,1.77,3.40,4.20,1.80,2.5,1.87
432,Trinec  Chrudim,1.97,3.35,3.45,1.90,2.5,1.78
433,Lisen  Karvina,2.02,3.30,3.35,1.89,2.5,1.78
434,Prostějov  Sparta P. (B),2.30,3.30,2.75,1.95,2.5,1.74
435,Slavia P. (B)  Vyskov,3.00,3.30,2.16,1.90,2.5,1.78
436,Varnsdorf  Vlasim,1.71,3.55,4.35,1.92,2.5,1.76
437,Utakmica,1,X,2,,2.5,i
438,Aalborg  Odense,2.12,3.50,3.15,2.00,2.5,1.75
439,Midtjylland  Viborg,1.72,3.80,4.30,2.12,2.5,1.67
440,Silkeborg  Horsens,1.75,3.65,4.35,1.93,2.5,1.81
441,Brondby  Lyngby,1.68,3.85,4.80,2.04,2.5,1.79
442,FC Kobenhavn  Aarhus AGF,1.70,3.75,4.70,1.96,2.5,1.85
443,Nordsjaelland  Randers,2.10,3.60,3.20,2.12,2.5,1.73
444,Utakmica,1,X,2,,2.5,i
445,Hobro  Fremad Amager,2.13,3.35,3.20,1.89,2.5,1.85
446,Hvidovre  Vejle,2.85,3.45,2.30,2.04,2.5,1.73
447,Vendsyssel  Helsingor,3.00,3.50,2.18,2.11,2.5,1.68
448,Nykobing  SonderjyskE,6.25,4.45,1.43,2.35,2.5,1.56
449,Naestved  Hillerod Fodbold,1.65,3.90,4.70,2.17,2.5,1.64
450,HB Koge  Fredericia,2.13,3.60,3.00,2.30,2.5,1.58
451,Utakmica,1,X,2,,2.5,i
452,America de Quito  Imbabura,2.40,2.95,2.95,1.49,2.5,2.40
453,Utakmica,1,X,2,,2.5,i
454,TPS  KPV,1.30,4.75,7.50,5,2.5,1.49
455,JaPS  Jaro,4.55,4.15,1.57,2.60,2.5,1.42
456,PIF Parainen  SJK Akatemia,4.45,3.95,1.61,2.30,2.5,1.52
457,PK-35 Vantaa  Gnistan,2.30,3.55,2.70,2.45,2.5,1.48
458,MP Mikkelin  PePo Lappeenranta,1.87,3.80,3.45,2.40,2.5,1.51
459,Utakmica,1,X,2,,2.5,i
460,Inter Turku II  PIF Parainen II,1.08,7.50,11.0,,2.5,1.26
461,TP-T  NoPS,2.90,3.70,1.88,.38,2.5,1.95
462,FC Melody  TPV,11.3,8.00,1.07,,2.5,1.18
463,LePa  EIF Academy,5.60,5.35,1.28,.11,2.5,1.33
464,Atlantis II  Valtti,1.20,5.70,7.00,,2.5,1.42
465,Toolon Taisto  MPS Helsinki,2.65,3.65,2.02,.38,2.5,1.95
466,Utakmica,1,X,2,,2.5,i
467,Lamia  Levadiakos,2.21,2.85,3.50,1.46,2.5,2.50
468,Asteras T.  OFI,1.91,3.05,4.20,1.56,2.5,2.25
469,Olympiakos  Atromitos,1.29,4.65,10.3,7,2.5,1.75
470,Volos NFC  Aris,3.50,3.00,2.13,1.59,2.5,2.21
471,PAOK  Panathinaikos,2.45,2.85,3.00,1.50,2.5,2.45
472,Giannina PAS  Panaitolikos,2.30,2.90,3.25,1.54,2.5,2.30
473,AEK  Ionikos,1.19,5.65,14.0,9,2.5,1.60
474,Utakmica,1,X,2,,2.5,i
475,Bali United Pusam  PS TIRA-Persikabo,1.40,4.20,7.25,1.83,2.5,1.88
476,Utakmica,1,X,2,,2.5,i
477,Ironi K. Shmona  Hapoel Haifa,2.22,3.30,3.00,1.73,2.5,1.99
478,Ashdod  Hapoel Hadera,1.96,3.45,3.45,1.86,2.5,1.85
479,Maccabi Netanya  Hapoel B. Sheva,2.90,3.35,2.30,1.89,2.5,1.85
480,Maccabi Haifa  Maccabi T.A.,2.20,3.45,3.00,2.01,2.5,1.75
481,Bnei Sakhnin  Sektzia Nes Tziona,1.56,3.80,5.45,1.78,2.5,1.93
482,Hapoel T.A.  Hapoel Jerusalem,2.03,3.30,3.45,1.70,2.5,2.04
483,Beitar J.  Maccabi Bnei Raina,1.95,3.45,3.65,1.88,2.5,1.86
484,Utakmica,1,X,2,,2.5,i
485,Fukuoka  Vissel Kobe,2.90,3.10,2.55,1.60,2.5,2.35
486,Cerezo Osaka  Shonan Bellmare,1.99,3.40,3.85,1.76,2.5,2.07
487,Kashima Antlers  FC Tokyo,1.96,3.50,3.80,1.88,2.5,1.93
488,Sagan Tosu  Kyoto Sanga,2.01,3.40,3.80,1.76,2.5,2.07
489,Hiroshima  Urawa Reds,2.22,3.35,3.25,1.82,2.5,2.00
490,Gamba Osaka  Kashiwa,2.80,3.40,2.45,1.90,2.5,1.91
491,Sapporo  Kawasaki F.,4.00,3.85,1.83,2.30,2.5,1.64
492,Nagoya  Yokohama FM,3.55,3.60,2.01,2.02,2.5,1.80
493,Utakmica,1,X,2,,2.5,i
494,Mont.Yamagata  Albirex Niigata,3.00,3.30,2.35,1.82,2.5,2.00
495,Kofu  Tochigi SC,2.35,2.90,3.35,1.46,2.5,2.75
496,Thespakusatsu Gunma  Omiya,2.70,3.05,2.70,1.61,2.5,2.35
497,Tokus. Vortiis  Machida Zelvia,2.30,3.00,3.40,1.51,2.5,2.55
498,Ryukyu  Yokohama FC,3.85,3.25,2.00,1.68,2.5,2.20
499,Oita  V-Varen Nagasaki,2.02,3.30,3.75,1.72,2.5,2.13
500,Roasso Kumamoto  Blaublitz Akita,1.75,3.30,5.20,1.55,2.5,2.45
501,Sendai  Tokyo Verdy,2.21,3.45,3.10,1.99,2.5,1.82
502,Mito Hollyhock  JEF United,2.55,3.00,2.95,1.53,2.5,2.55
503,Renofa Yamaguchi  Grulla Morioka,2.13,3.30,3.40,1.80,2.5,2.02
504,Zweigen Kanazawa  Okayama,3.85,3.35,1.95,1.78,2.5,2.05
505,Utakmica,1,X,2,,2.5,i
506,Puebla  Club America,3.20,3.40,2.12,1.98,2.5,1.77
507,Juarez  Pumas UNAM,2.05,3.35,3.45,1.86,2.5,1.88
508,Utakmica,1,X,2,,2.5,i
509,Atl. Morelia  Tepatitlan de Morelos,1.62,3.65,5.10,1.78,2.5,1.93
510,CD Tapatio  Venados Merida,2.25,3.10,3.10,1.60,2.5,2.20
511,CA La Paz  Alebrijes Oaxaca,2.50,3.05,2.80,1.56,2.5,2.30
512,Utakmica,1,X,2,,2.5,i
513,Tromso  Molde,3.20,3.60,2.10,2.20,2.5,1.71
514,Valerenga  Stromsgodset,1.65,4.20,4.70,2.60,2.5,1.51
515,Lillestrom  Bodo/Glimt,3.05,3.60,2.15,2.20,2.5,1.68
516,Aalesunds  Viking,2.65,3.55,2.45,2.19,2.5,1.68
517,Ham Kam  Jerv,1.36,4.90,7.50,2.50,2.5,1.54
518,Haugesund  Odds BK,1.95,3.65,3.65,2.14,2.5,1.72
519,Sandefjord  Sarpsborg 08,3.30,3.90,1.96,2.70,2.5,1.47
520,Kristiansund  Rosenborg,3.75,3.85,1.87,2.35,2.5,1.60
521,Utakmica,1,X,2,,2.5,i
522,Brann  Stjordals Blink,1.03,10.0,16.8,25,2.5,-
523,Bryne  Skeid,2.00,3.60,3.20,2.30,2.5,1.55
524,Fredrikstad  Mjondalen,1.86,3.75,3.55,2.45,2.5,1.48
525,Grorud IL  Raufoss,3.45,3.90,1.84,2.45,2.5,1.49
526,Kongsvinger  Sogndal,2.13,3.70,2.85,2.50,2.5,1.47
527,Ranheim  Sandnes,1.89,3.90,3.30,2.85,2.5,1.38
528,Stabaek  Asane,1.23,5.80,8.50,5,2.5,1.33
529,Start  KFUM Oslo,1.90,3.75,3.40,2.40,2.5,1.51
530,Utakmica,1,X,2,,2.5,i
531,3 de Febrero  Sportivo Iteno,1.51,3.80,5.50,1.87,2.5,1.77
532,Utakmica,1,X,2,,2.5,i
533,Sporting C.  ADT Tarma,1.25,5.30,8.25,0,2.5,1.28
534,Atletico Grau  Sport Boys A.,1.52,3.65,6.00,1.78,2.5,1.90
535,FBC Melgar  Deportivo Binacional,1.33,4.60,10.5,9,2.5,1.81
536,Carlos Manucci  Ayacucho,1.80,3.30,4.15,1.81,2.5,1.86
537,Utakmica,1,X,2,,2.5,i
538,Radomiak Radom  Cracovia Krakow,2.40,3.10,3.10,1.60,2.5,2.35
539,Wisla Plock  Piast Gliwice,2.35,3.35,2.90,1.87,2.5,1.95
540,Gornik Zabrze  Zaglebie Lubin,2.15,3.45,3.20,1.95,2.5,1.87
541,Lech P.  Legia,1.91,3.50,3.85,1.88,2.5,1.93
542,Pogon Szczecin  Lechia Gdansk,1.75,3.80,4.50,2.09,2.5,1.75
543,Miedz Legnica  Stal Mielec,2.00,3.55,3.55,2.00,2.5,1.85
544,Jagiellonia B.  Korona Kielce,1.60,3.90,5.35,1.98,2.5,1.85
545,Widzew Lodz  Rakow Cz.,4.75,3.75,1.70,1.94,2.5,1.87
546,Slask Wroclaw  Warta Poznan,2.35,3.15,3.10,1.66,2.5,2.24
547,Utakmica,1,X,2,,2.5,i
548,Dundalk  Drogheda Utd,1.39,4.55,7.50,2.07,2.5,1.77
549,St. Patrick's  Derry City,2.85,3.35,2.40,1.81,2.5,2.02
550,Bohemians D.  UCD,1.36,4.70,8.25,2.09,2.5,1.75
551,Finn Harps  Shelbourne,2.80,3.25,2.50,1.71,2.5,2.16
552,Sligo Rovers  Shamrock,3.95,3.45,1.91,1.76,2.5,2.07
553,Utakmica,1,X,2,,2.5,i
554,Treaty United  Galway FC,4.80,3.45,1.66,1.85,2.5,1.82
555,Athlone Town  Longford Town,4.80,3.85,1.59,2.30,2.5,1.52
556,Waterford FC  Cobh Ramblers,1.22,5.60,10.3,0,2.5,1.36
557,Wexford FC  Bray Wanderers,1.82,3.40,3.90,1.97,2.5,1.72
558,Utakmica,1,X,2,,2.5,i
559,Concordia Chiajna  Universitatea Cluj,3.50,2.85,2.04,1.39,2.5,2.55
560,Viitorul Tg. Jiu  Dinamo Bucuresti,3.00,3.15,2.25,1.65,2.5,2.05
561,Utakmica,1,X,2,,2.5,i
562,Spartak M.  Zenit,4.10,3.80,1.75,2.16,2.5,1.67
563,Utakmica,1,X,2,,2.5,i
564,Novi Pazar  Mladost Lučani,1.40,4.20,6.25,1.99,2.5,1.67
565,TSC Bačka Topola  Radnik Surdulica,1.38,4.30,6.50,2.03,2.5,1.64
566,Javor Ivanjica  Voždovac,2.30,3.35,2.70,1.92,2.5,1.73
567,Napredak Krusevac  Kolubara,2.07,3.30,3.10,1.78,2.5,1.85
568,Spartak Subotica  Radnicki 1923,2.40,3.05,2.75,1.58,2.5,2.15
569,Partizan  Vojvodina,1.41,4.10,6.25,1.90,2.5,1.74
570,Čukarički  Radnički Niš,1.55,3.85,5.00,1.96,2.5,1.69
