,Unnamed: 0_x,teams_x,1_soc,X_soc,2_soc,under_soc,goals_soc,over_soc,teams_matched,score,Unnamed: 0_y,teams_y,1_max,X_max,2_max,under_max,goals_max,over_max
0,1, Orijent 1919 Kustosija,1.97,3.2,3.5,1.8,2.5,1.9,Orijent  Kustosija,87,122,Orijent  Kustosija,2.15,2.85,3.1,1.73,2.5,1.90
1,6,R Lanus (R) Talleres C. (R),2.15,3.35,3.1,1.77,2.5,1.93,Talleres RE  Acassuso,71,36,Talleres RE  Acassuso,2.65,2.90,2.75,1.45,2.5,2.45
2,7,R Sarmiento (R) Central Cordoba (R),2.15,3.35,3.1,1.7,2.5,2.05,Racing Club  Rosario Central,66,31,Racing Club  Rosario Central,1.75,3.45,5.1,1.73,2.5,2.10
3,8, Cherno More Botev Vratsa,1.37,4.55,8.6,1.85,2.5,1.85,Cherno More  Botev V.,88,95,Cherno More  Botev V.,1.42,4.10,7.3,1.85,2.5,1.85
4,17, Dukla Praha V.Jihlava,2.0,3.4,3.45,1.95,2.5,1.75,Dukla P.  Jihlava,83,127,Dukla P.  Jihlava,2.0,3.10,3.4,1.78,2.5,1.85
5,20, Orijent 1919 Kustosija,1.97,3.2,3.5,1.8,2.5,1.9,Orijent  Kustosija,87,122,Orijent  Kustosija,2.15,2.85,3.1,1.73,2.5,1.90
6,25,R Lanus (R) Talleres C. (R),2.15,3.35,3.1,1.77,2.5,1.93,Talleres RE  Acassuso,71,36,Talleres RE  Acassuso,2.65,2.90,2.75,1.45,2.5,2.45
7,26,R Sarmiento (R) Central Cordoba (R),2.15,3.35,3.1,1.7,2.5,2.05,Racing Club  Rosario Central,66,31,Racing Club  Rosario Central,1.75,3.45,5.1,1.73,2.5,2.10
8,31, Novi Pazar Mladost L.,1.47,4.4,6.4,1.97,2.5,1.75,Novi Pazar  Mladost L.,100,17,Novi Pazar  Mladost L.,1.48,4.00,6.3,2.00,2.5,1.70
9,32, Pribram Sigma O. B,1.8,3.7,3.9,1.88,2.5,1.82,Pribram  Sigma O. II,91,6,Pribram  Sigma O. II,2.0,1.90,3.8,4.60,2.5,2.10
10,32, Pribram Sigma O. B,1.8,3.7,3.9,1.88,2.5,1.82,Pribram  Sigma O. II,91,128,Pribram  Sigma O. II,1.78,3.45,4.15,1.95,2.5,1.75
11,33, TPS KPV,1.27,5.6,10.5,2.35,2.5,1.53,TPS  KPV Kokkola,64,173,TPS  KPV Kokkola,1.22,6.00,12.0,2.50,2.5,1.48
12,34, Ararat Yerevan Urartu,3.35,3.0,2.2,1.6,2.5,2.2,Ararat Y.  Urartu,83,40,Ararat Y.  Urartu,3.0,2.85,2.35,1.55,2.5,2.20
13,39, RC Arba El Bayadh,1.95,3.05,4.0,1.4,2.5,2.7,Arba RC  El Bayadh,100,19,Arba RC  El Bayadh,1.98,2.90,4.15,1.33,2.5,3.00
14,40, MO Constantine JSM Skikda,1.25,4.5,11.3,1.75,2.5,1.97,MO Constantine  Skikda,91,25,MO Constantine  Skikda,1.26,4.40,11.0,1.70,2.5,1.95
15,41, ZR Temouchent RC Kouba,1.45,3.65,7.2,1.57,2.5,2.25,Temouchent  RC Kouba,93,27,Temouchent  RC Kouba,1.45,3.65,6.6,1.55,2.5,2.20
16,42, ASM Oran MC Saida,1.4,3.5,9.4,1.45,2.5,2.55,ASM Oran  Saida,90,22,ASM Oran  Saida,1.42,3.35,8.75,1.35,2.5,2.70
17,43, ES Mostaganem WA Boufarik,2.05,2.9,3.6,1.6,2.5,2.2,Mostaganem  Widad Adabi de B.,69,26,Mostaganem  Widad Adabi de B.,2.05,2.95,3.55,1.55,2.5,2.15
18,44, Hussein Dey RC Relizane,1.3,4.35,8.9,1.85,2.5,1.85,Hussein Dey  Relizane,93,24,Hussein Dey  Relizane,1.3,4.05,8.25,1.78,2.5,1.85
19,50, Dornbirn Austria W. (A),2.4,3.5,2.6,2.25,2.5,1.55,Dornbirn  Austria V. II,83,47,Dornbirn  Austria V. II,2.35,3.50,2.65,2.38,2.5,1.53
20,51, First Wien SV Kapfenberg,1.4,4.6,6.75,2.35,2.5,1.52,First Vienna  Kapfenberg,89,48,First Vienna  Kapfenberg,1.42,4.60,5.75,2.45,2.5,1.50
21,52, Vorwarts Steyr SV Horn,3.05,3.45,2.15,2.07,2.5,1.67,Vorwarts S.  Horn,81,49,Vorwarts S.  Horn,2.95,3.30,2.25,2.10,2.5,1.65
22,53, Botev Plovdiv Slavia Sofia,2.0,3.4,3.7,1.67,2.5,2.08,Botev P.  Slavia Sofia,87,96,Botev P.  Slavia Sofia,1.98,3.20,3.75,1.65,2.5,2.10
23,55, Hvidovre Vejle,2.8,3.5,2.4,2.05,2.5,1.7,Hvidovre  Vejle,100,134,Hvidovre  Vejle,2.65,3.20,2.45,1.93,2.5,1.73
24,59, Opava MAS Taborsko,1.8,3.35,4.3,1.75,2.5,1.97,Opava  Taborsko,88,129,Opava  Taborsko,1.8,3.30,4.25,1.73,2.5,1.98
25,61, Varazdin Istra,1.95,3.45,3.55,1.85,2.5,1.85,Varazdin  Istra 1961,85,120,Varazdin  Istra 1961,2.0,3.20,3.6,1.75,2.5,1.95
26,62, Ethnikos Achna Othellos,1.45,3.9,6.35,1.85,2.5,1.85,Ethn.Achnas  Othellos A.,84,124,Ethn.Achnas  Othellos A.,1.5,3.50,5.5,1.80,2.5,1.80
27,63, Omonia 29M Omonia Aradippou,1.8,3.35,3.9,1.65,2.5,2.08,Omonia 29.May  Om.Aradippou,83,125,Omonia 29.May  Om.Aradippou,1.93,3.00,3.55,1.55,2.5,2.15
28,86, Aalborg Odense,2.15,3.55,3.2,1.97,2.5,1.75,Aalborg  Odense,100,132,Aalborg  Odense,2.25,3.55,3.0,2.00,2.5,1.78
29,92, Wiener SK Mauerwerk,1.88,3.75,3.2,2.55,2.5,1.45,Wiener S.  Mauerwerk FC,90,61,Wiener S.  Mauerwerk FC,1.93,3.60,3.15,2.50,2.5,1.42
30,93, Traiskirchen TWL Elektra,2.7,3.3,2.3,1.97,2.5,1.75,Traiskirchen  TWL Elektra,100,60,Traiskirchen  TWL Elektra,2.75,3.05,2.4,1.88,2.5,1.78
31,94, Vocklamarkt WSC Hertha,11.1,5.9,1.18,2.85,2.5,1.37,Vocklamarkt  WSC Wels,71,57,Vocklamarkt  WSC Wels,15.0,7.70,1.1,2.95,2.5,1.31
32,99, Drassburg Kremser SC,2.2,3.75,2.6,2.75,2.5,1.4,Drassburg  Kremser,92,59,Drassburg  Kremser,2.25,3.50,2.65,2.60,2.5,1.40
33,100, Weiz Gleisdorf 09,2.75,3.55,2.15,2.22,2.5,1.58,SC Weiz  Gleisdorf,82,56,SC Weiz  Gleisdorf,2.5,3.35,2.4,2.25,2.5,1.53
34,101, Kalsdorf Treibach,1.9,3.9,3.1,2.85,2.5,1.37,Kalsdorf  Treibach,100,55,Kalsdorf  Treibach,1.88,3.85,3.15,3.00,2.5,1.30
35,102, DSC Bad Gleichenberg,2.3,3.55,2.55,2.48,2.5,1.47,D'landsberger  B. Gleichenberg,67,54,D'landsberger  B. Gleichenberg,2.2,3.40,2.6,2.50,2.5,1.42
36,103, Martigues Paris 13 Atletico,1.95,3.15,3.9,1.6,2.5,2.18,Martigues  Paris 13 Atl.,90,204,Martigues  Paris 13 Atl.,2.1,3.15,3.8,1.68,2.5,2.20
37,109, E. Virton Club Brugge B,2.3,3.3,2.85,1.97,2.5,1.75,Virton  Cl.Brugge KV U23,76,80,Virton  Cl.Brugge KV U23,2.3,3.20,2.95,1.98,2.5,1.75
38,110, Genk B Dender,2.05,3.6,3.15,2.05,2.5,1.7,Genk U23  FC Dender,71,79,Genk U23  FC Dender,2.0,3.40,3.35,2.10,2.5,1.65
